,name,time,tweet
97,OFFICIAL BEM UPNVJ,2022-05-27 10:24:54+00:00,"[PRESS RELEASE PURA: NAPAK TILAS 24 TAHUN PEMERKOSAAN MEI 98]

Halo, Keluarga Mahasiswa UPNVJ!👋🏻

Pada tanggal 24 M… https://t.co/EXthva35nS"
98,abandoned person.,2022-05-27 10:12:45+00:00,"Sebelum ada putusan pengadilan kalo dia bukan pelaku kejahatan seksual, gue masih pengen ini orang buat berkarya.… https://t.co/JK0KlQkv6C"
99,낱💙🐰,2022-05-27 10:12:20+00:00,"Ku masih mengkesel dulu waktu ada kasus pemerkosaan bisa"" nya masih jd bahan becandaan mana ada yg nyalahin korban nya 😭🙈"
100,pake f bukan v,2022-05-27 10:07:21+00:00,"Sebagai orang ga punya duit, mau “jajan” itu susah. Minimal harus menarik lah, biar bisa ons. Udah gitu kalo nekat,… https://t.co/6U0YQchEvU"
101,Radifan M,2022-05-27 09:28:08+00:00,@m1tarashipeach @GallopUshan @Prambors Emang lau sedeket apa bos sama doi sampe bisa bilang sering wkwk. Sodara buk… https://t.co/mWIsYdeHLB
102,Daniel Bona,2022-05-27 09:27:19+00:00,@AnjouDauphin @Prambors Dicancel krn tuduhan pemerkosaan padhaal sdh terbukti tidak dan pengakuan sendiri dr yg nuduh
103,Patri-archery,2022-05-27 09:27:10+00:00,"lama2 kasus serius macem pemerkosaan yg beneran terjadi bakal ketutup sama kasus tuduhan dongeng, sapaan, &amp; siulan… https://t.co/h1qfT91WS2"
104,skruskru,2022-05-27 09:02:38+00:00,@pemer1bangsad Kalo lu yang bikin drama jadi korban pemerkosaan pasti gak ada yang percaya
105,REI & CO LAWYER OFFICE,2022-05-27 08:25:07+00:00,"Peduli Hak Perempuan, Partai Perindo Dampingi Korban Pemerkosaan di Warakas https://t.co/dDg6qSQyuV"
106,kesatiran,2022-05-27 07:25:41+00:00,"@pergijauh @Prambors ngeri sekarang kalo ga suka. senjatanya pake thread isu pelecehan buat ngecancle orang. 

jadi… https://t.co/lVLzPTlYU5"
107,Kami bersama penyintas KS ✊,2022-05-27 07:23:57+00:00,"@Just_Rava @flicaaaaaa @djwembut @mediocrickey ""Orang yang bisa ngelihat ga boleh bahas fasilitas tunanetra krn ga… https://t.co/YOrwWiThAE"
108,xj,2022-05-27 06:36:19+00:00,"@Fauzi_21_ @Anonnym77843904 @HukumDan Lah, yg gw vahas rokok dek bkn ganja, btw ngtot ama binatang ya itu jls pemerkosaan, gmn si? 🤣🤣"
109,Paragram Berita,2022-05-27 05:29:14+00:00,"Dibawa Ibu Mertua Ke Dukun Biar Akur Sama Suami, Wanita Ini Malah Jadi Korban Pemerkosaan Selama 79 Hari, Hidupnya… https://t.co/r1D9WskBY9"
110,ᴀʀɪ ʜᴇɴᴅʀᴀ🇮🇩🇮🇩,2022-05-27 05:23:20+00:00,@_SEKNAS_RI @virza1 @Ojoklalenya @MuhSuwarno @Em_Amir_Nihat @AntonKu62463911 @JohnManjo555 @SutayaLili @Rosady1M… https://t.co/0AFTFInUgw
111,✡︎ פאן יון,2022-05-27 05:11:16+00:00,"https://t.co/vAXPq2zQ6L
Perempuan berinisial AW (20) dibunuh dan diperkosa oleh temannya sendiri, A (22), di Mangga… https://t.co/TaOveQzvhB"
