,name,time,tweet
51,דאקומה בן אוטקוני,2022-05-28 08:23:43+00:00,"Giliran maling langsung digebukin + rame rame kalo udah jelas tindak pemerkosaan gini kagak ada yg nolongin, kontol… https://t.co/VGhvwW3pj2"
52,folbek ye,2022-05-28 08:17:09+00:00,Korea Selatan adalah negara Asia pertama yang melegalkan pengebirian kelamin secara kimia untuk pelaku pemerkosaan / kejahatan seks.
53,Maria ماريا 🕊🦋,2022-05-28 07:08:45+00:00,@SmgMenfess2 biasa aja. dengerin aja ceritanya gausah ditanggapin yg gimana2. bukan tanggung jawab aku jg. kalau di… https://t.co/kuexmlieTr
54,Wounded (GCLT),2022-05-28 06:53:26+00:00,"@AREAJULID Astagaa orang tua tolol nya 
Atas dasar apa ?? Percaya Krn calonya org pesantren org Agamawan 
Gak liat… https://t.co/dUOpsGnqRK"
55,KadRunMurTaD🥷,2022-05-28 06:44:01+00:00,@KadrunBin @alextham878 Sejak kapan somad mewakili umat islam di indonesia??? Apakah orang2 yg dipenjara krn kasus… https://t.co/YsysJhmLsM
56,🫶🏽,2022-05-28 06:27:50+00:00,@PanggilAjaOlaaa @xxakuaaprilll @carramel_xixy korban HS itu contohnya pemerkosaan ya viola faker.
57,celi | mention after dm 🌻,2022-05-28 05:32:20+00:00,"""Gak berani"" sumpah kecewa bgt apa gak kasian sm korbannya? Minimal teriak lah minta tolong atau diem2 ngedeketin b… https://t.co/LIh0Dh0A1l"
58,Salsavira az zahra,2022-05-28 05:24:07+00:00,"4. Melakukan Pemerkosaan Terhadap Pacar Sendiri

Tindakan ini diatur dalam Pasal 285 KUHP, yang menyatakan ""Barang… https://t.co/tpJqOMk3uW"
59,Salsavira az zahra,2022-05-28 05:06:06+00:00,"Akan tetapi jika bucinnya menimbulkan akibat seperti pencurian, penganiayaan, pemerkosaan, dll, itu baru dapat dila… https://t.co/LY4jGdTOio"
60,ؘ,2022-05-28 04:53:45+00:00,"tw :  rape sexual harrasement pemerkosaan perkosa 

0,01% yang akan terjadi itu udah makan korban banyak bahkan 90%… https://t.co/79CBdbWtlh"
61,NusaBali.com,2022-05-28 03:54:44+00:00,"Dinilai Kooperatif, Tersangka Persetubuhan Belum Ditahan https://t.co/BFuUWMrcJr #berita #nusabali #Kriminal #Pemerkosaan #PolresBuleleng"
62,"DR. Ahmad Anjai Al Baroesy, M.Pd.I",2022-05-28 03:40:36+00:00,"Bohong besar PBB itu ada! Pembantaian terus bergulir, Pemerkosaan, perampasan hak hidup, tapi tidak pernah direspon… https://t.co/nZHBJ86MXy"
63,"Hello, Chen🥳",2022-05-28 03:20:29+00:00,"@fahriii_b05 @dazzlingaqua525 @ennsungie Marah ya? Kesal ya? Santai aja, tiap ada kasus pelecehan/pemerkosaan korba… https://t.co/t7uz17xYwX"
64,J,2022-05-28 03:08:29+00:00,"@zatbergizi katanya kising, tp kl maksa gt ya sama aja pemerkosaan"
65,lalalalalalalala,2022-05-28 02:35:03+00:00,@masscokro @CillRyder @ennsungie Air lada atau air cabe bubuk udah cukup sih. Ini yang salty pembunuhan lebih diper… https://t.co/hZB92vuOoB
66,Fahri,2022-05-28 02:21:15+00:00,"@sushitrcshh @dazzlingaqua525 @ennsungie Maksud dari 0,01% itu untuk hal yg g semua tindakan kriminal bakal kita pi… https://t.co/mt4hQCvrCX"
67,oyen,2022-05-28 01:58:43+00:00,@Steverevano99 @barnadi @musurifu @Ustadz_Ahong wkwkwk kasih contoh juga dong pemerkosaan di pesantren yang dilakui… https://t.co/ekHGx77Lp5
68,tomo,2022-05-28 01:42:13+00:00,"@convomfs waktu itu jamannya pemerkosaan di dalem angkot, sekarang pelecehan di motor? ini gue ga punya kendaraan s… https://t.co/x0jeBHTzWZ"
69,Kal 🐑,2022-05-28 00:52:00+00:00,"Tapi pernah nemu satu kasus yang nginap sama keluarga kaya gini, karena tempat tinggalnya nerima beberapa, baik cow… https://t.co/hdRcHhL2Zo"
70,calvin kurniawan,2022-05-28 00:27:12+00:00,@BAHAN_COL1 Yang pemerkosaan indo bagus kaya e boss
71,Real Madrid ,2022-05-28 00:23:48+00:00,"Kenalan lewat FB, Bocah SMP jadi Korban Pemerkosaan https://t.co/WGRisjXC6Q"
72,𝕙𝕒𝕣𝕣𝕪Ⓒ︎Ⓔ︎Ⓟ︎Ⓨ︎,2022-05-28 00:16:04+00:00,"@BuronanMabes Bilang padanya,pembunuhan pemerkosaan ada sebelum agama islam ada ,jadi apakah itu tetep boleh🤦‍♂️🤦‍♂️🤦‍♂️"
73,He n's,2022-05-27 23:42:56+00:00,"@tanyakanrl Sebenarnya cowo2 tuh kalo masalah jaga cewe baik.

Karena mikirnya gimana kalo itu ibu atau adek peremp… https://t.co/KqhobUNZ59"
74,Kalesang Media,2022-05-23 06:05:59+00:00,"Dinilai Lambat Tangani Kasus Dugaan Pemerkosaan, Begini Tanggapan Polres Halbar https://t.co/nH1yNIlrMj"
75,Larman Gultom,2022-05-23 05:13:09+00:00,Tahun 80an tdk banyak yg berhijab  tapi sedikit juga yg ada pemerkosaan  pada hal ibu ibu di kali nuci pake BH hita… https://t.co/LPYETTj5fa
76,Sean,2022-05-23 05:00:36+00:00,@lovioseta kalo ada konsen bukan pemerkosaan
77,Free Porn Movies,2022-05-23 04:20:23+00:00,"Download Bokep #publicagent #jepang #pemerkosaan #faketaxi #fakeagent #anal #indo #perawan Semua nya lengkap
https://t.co/jSm2nUMbKA"
78,Herald.id,2022-05-23 03:52:25+00:00,"Derita Dua Gadis ABG, Tiga Hari Jadi Budak Seks 8 Pria #Pemerkosaan https://t.co/nICByqEXyu"
79,tirtoid,2022-05-23 03:48:21+00:00,"LBH Makassar menyesalkan penghentian pengusutan dugaan pemerkosaan anak kandung oleh ayahnya di Luwu Timur, Sulawes… https://t.co/1tkIqRaJeq"
80,Made Dwi,2022-05-23 03:46:14+00:00,"@tvOneNews Tolong dihukum seberat beratnya pelaku pemerkosaan ini, agar ada efek jera dan tidak ada yang berani men… https://t.co/M2fzdQ22VG"
81,IDN Times,2022-05-23 03:00:32+00:00,Kasus ditutup karena kurang bukti https://t.co/gqGQQ1XpzQ
82,hadiwijaya13,2022-05-23 02:51:22+00:00,@Helmi_Felis Pemerkosaan hak dan suara rakyat yang pilihannya LUBER. Ini sejatinya merusak konstitusi dan aturan yang ada. Ngrusak aturan.
83,tofu (Taylor's Version),2022-05-23 02:36:10+00:00,"JUST SAY DIPERKOSA!!!! this is so sickening kasus PEMERKOSAAN kenapa diperhalus gini deh?

sending my prayers for t… https://t.co/lmo9hmg4Bf"
84,for.mujeres,2022-05-23 01:52:57+00:00,"Pemerkosaan oleh M. Subchi Azal Tsani (MSAT), kepada beberapa santriwati di Pondok Pesantren Shiddiqiyyah Jombang."
85,Free Porn Movies,2022-05-23 01:20:23+00:00,"Download Bokep #publicagent #jepang #pemerkosaan #faketaxi #fakeagent #anal #indo #perawan Semua nya lengkap
https://t.co/jSm2nV4kYI"
86,DahyunDay🎂🎉🎈,2022-05-23 00:48:46+00:00,"@justbefi @AREAJULID Iyalah kalo lo punya pentel besar lo lerr lerr itu juga penyebab kejahatan pemerkosaan, yg jad… https://t.co/s2Q8yjdcAy"
87,Stefanus Kalirubun,2022-05-22 18:42:09+00:00,"@__naa_ayeley kam bicara itu pake otak, yg lakukan pemerkosaan, pembunuhan dan lain lain itu kam sendiri baru bicar… https://t.co/7opFbSVXWF"
88,JPNN.com,2022-05-22 18:37:02+00:00,Polisi bergerak cepat setelah menerima laporan orang tua korban pemerkosaan. Tiga pemerkosa diringkus. Pelaku teran… https://t.co/jgtXgCHoYI
89,Cryptone22,2022-05-22 18:36:08+00:00,#TSA radit&amp;Rendi otak dibalik pemerkosaan kaum normal dan pembunuhan berantai di jabodetabek bersama crew2… https://t.co/PHehfFN3fQ
90,Zahari,2022-05-22 18:32:44+00:00,28/46 Namun Irine tak merasa bersalah. Dia bahkan dg arogan mengatakan memaafkan saya atas kasus pemukulan yg tdk p… https://t.co/YGVXudbWAg
91,Salingka Media,2022-05-22 18:20:37+00:00,"Salingka Media, Lubuklinggau - Usai rampok dan perkosa mahasiswi, Eko langsung Poya-Poya, Kepolisian Resort Lubukli… https://t.co/h31tL4bMxP"
