,name,time,tweet
55,Fian | Dr. Taylor Alison Swift,2022-05-24 10:43:46+00:00,Yeremia ngomong kayak begini bener-bener tipikal pem-bully di school series US. Mereka biasanya cowok-cowok atletis… https://t.co/FiXyeXmU4d
56,sipalingpaling,2022-05-24 10:43:38+00:00,"@risyiana @maiciduel @Prambors merugikan GH. Kita gak tau saat kejadian, kalau emang benar terjadi, bisa aja situas… https://t.co/hEeoeVCqiU"
57,ً🧚🏻‍♀️,2022-05-24 10:40:18+00:00,@NabillaaprianiS ?? wtf are u talking about? gausah bela pelaku pelecehan seksual. basi bgt alesan “manusia ga lupu… https://t.co/xH7NHNBXCw
58,◡̈,2022-05-24 10:39:20+00:00,"aku sempet ke trigger di beberapa part karna emng ngga ngecek tw dulu sebelum baca,
tw // pelecehan seksual, kdrt, bunuh diri"
59,Gyy20,2022-05-24 10:32:01+00:00,Org2 Tiktok emang beda yaaa... Dr kejadian ini BKN mikir soal sexual harassment nya malah mikirin takut org itu jd… https://t.co/uXgFeaU9gH
60,Adisha ; openn!,2022-05-24 10:27:44+00:00,cara ngelaporin pelecehan seksual gmna woee😭sinting temen ceweku ga sengaja tapi aku ttp marah😃
61,lulusSBMPTN2022,2022-05-24 10:27:25+00:00,@rohmi_yatun @selendiipity Yang ketiga kali masuk ke pelecehan seksual si menurutku sebagai perempuan jijik ngeliat… https://t.co/fh6Sqgibnb
62,Darla | #SudahBooster,2022-05-24 10:25:03+00:00,@stefanyvonne Macem Gojek yg minta bantuan JakartaFeminist (cmiiw) buat mengedukasi drivernya soal pelecehan seksua… https://t.co/09Sf03z99a
63,sha,2022-05-24 10:21:01+00:00,"""orang bercanda doang"" gws deh kalo sampe ordal aja punya mindset enabler, omongannya udah masuk jadi pelecehan seksual loh, disgusting euw"
64,VivaCoid,2022-05-24 10:20:04+00:00,Pelecehan Seksual Dilakukan Pengemudi Ojek Online Ke Penumpangnya https://t.co/TdHjCdTXYd #trending
